country,region,happiness,gdp,life_expectancy,freedom,social_support
Cameroon,Sub-Saharan Africa,5.084899902,8.118647575,52.7049408,0.763051808,0.700386405
Venezuela,Latin America and Caribbean,5.053199768,8.977793694,66.50534058,0.62327832,0.890408158
Algeria,Middle East and North Africa,5.005099773,9.537964821,65.90517426,0.466610909,0.803385139
Senegal,Sub-Saharan Africa,4.980800152,8.118982315,59.59915161,0.690596163,0.723616004
Guinea,Sub-Saharan Africa,4.949299812,7.750990391,54.46780014,0.706846774,0.637573481
Niger,Sub-Saharan Africa,4.909599781,6.842166901,53.50009537,0.759772122,0.617435038
Laos,Southeast Asia,4.888599873,8.79858017,58.70992279,0.907213569,0.737502217
Albania,Central and Eastern Europe,4.882699966,9.417930603,68.70813751,0.781994224,0.671070457
Cambodia,Southeast Asia,4.848400116,8.249890327,61.52996826,0.959704638,0.773080647
Bangladesh,South Asia,4.832799911,8.287063599,64.50306702,0.90062499,0.687292993
Gabon,Sub-Saharan Africa,4.829299927,9.680537224,59.71533966,0.704829216,0.787886858
South Africa,Sub-Saharan Africa,4.814099789,9.403370857,56.50601196,0.759330094,0.852532268
Iraq,Middle East and North Africa,4.784800053,9.661095619,59.90354919,0.633182645,0.747694969
Lebanon,Middle East and North Africa,4.771500111,9.3617239,67.10658264,0.551357508,0.824338138
Burkina Faso,Sub-Saharan Africa,4.768700123,7.46854496,53.88945389,0.665563583,0.712943614
Gambia,Sub-Saharan Africa,4.750599861,7.321814537,55.0120163,0.733163178,0.6931687
Mali,Sub-Saharan Africa,4.729300022,7.629852295,51.72698212,0.71156615,0.731468976
Nigeria,Sub-Saharan Africa,4.724100113,8.57662487,49.86190796,0.759578407,0.73721689
Armenia,Commonwealth of Independent States,4.676799774,9.100476265,66.75065613,0.712017834,0.757479429
Georgia,Commonwealth of Independent States,4.672599792,9.226100922,64.49520874,0.801641524,0.629033029
Iran,Middle East and North Africa,4.672399998,9.813719749,66.00614929,0.647873282,0.694689691
Jordan,Middle East and North Africa,4.633399963,9.025999069,66.79975128,0.75104779,0.80216372
Mozambique,Sub-Saharan Africa,4.623600006,7.069345951,54.20582199,0.864451885,0.723874032
Kenya,Sub-Saharan Africa,4.583000183,8.02977562,60.09693146,0.829747558,0.702652037
Namibia,Sub-Saharan Africa,4.571100235,9.203141212,56.50148773,0.767520964,0.846880972
Ukraine,Commonwealth of Independent States,4.56069994,9.010690689,64.60678101,0.663081884,0.878879368
Liberia,Sub-Saharan Africa,4.557899952,7.054380417,56.09631348,0.735268712,0.70928055
Palestinian Territories,Middle East and North Africa,4.552800179,8.389223099,62.25,0.645791829,0.825295925
Uganda,Sub-Saharan Africa,4.43200016,7.500389576,55.70820236,0.731713951,0.764994621
Chad,Sub-Saharan Africa,4.422699928,7.467963696,48.22053909,0.587305248,0.632388055
Tunisia,Middle East and North Africa,4.392199993,9.314972878,66.89785767,0.593361557,0.688718557
Mauritania,Sub-Saharan Africa,4.374599934,8.233919144,57.01017761,0.551522553,0.790819228
Sri Lanka,South Asia,4.327000141,9.389969826,67.20006561,0.837633669,0.825374067
Congo (Kinshasa),Sub-Saharan Africa,4.31099987,6.694256306,52.90000153,0.700793564,0.672159016
Swaziland,Sub-Saharan Africa,4.308100224,9.16267395,51.18823624,0.646822274,0.770290196
Myanmar,Southeast Asia,4.308000088,8.680481911,58.96171188,0.895075202,0.78440702
Comoros,Sub-Saharan Africa,4.288599968,7.833630085,57.34901047,0.547612607,0.625662446
Togo,Sub-Saharan Africa,4.187200069,7.357711315,54.71989822,0.649828613,0.551312625
Ethiopia,Sub-Saharan Africa,4.186200142,7.509385586,58.63959122,0.740795195,0.743307352
Madagascar,Sub-Saharan Africa,4.165599823,7.281685829,59.10542679,0.557574093,0.668195903
Egypt,Middle East and North Africa,4.151400089,9.316541672,61.78015137,0.708354175,0.735447824
Sierra Leone,Sub-Saharan Africa,3.926399946,7.26880312,50.86514282,0.715315044,0.636142015
